Round Bean Bag Chair in Brown/Turquoise	B006J4RLT4	$123.81		p	51	22	8	17	f	http://ecx.images-amazon.com/images/I/51de0MHkzzL.jpg			
Daily Day Planner Organizer Fashion Agenda	B003EAJ0GS	$11.95	Monthly "Plan ahead" Spread at the Beginning of each Month Including Inspired Thoughts and Words of Wisdom from Prominent Women  Weekly View Planner Pages With Lots Of Writing Space  2013 & 2014 "Year At A Glance" Printed on the Inside Covers  Personal Info Page, Class Scheduler Pages, 9 Notes Pages, Reason for a Party List and Yearly Goals Page  Holidays and Daylight Savings Time Integrated into the Calendar Section - Special Icons on Holidays	p	47	35	13	17	f	http://ecx.images-amazon.com/images/I/51bn216r67L._SX38_SY50_CR,0,0,38,50_.jpg	http://ecx.images-amazon.com/images/I/51m%2Bzs2RORL._SX38_SY50_CR,0,0,38,50_.jpg	http://ecx.images-amazon.com/images/I/51pmwUxUOvL._SX38_SY50_CR,0,0,38,50_.jpg	http://ecx.images-amazon.com/images/I/611Byf-n9UL._SX38_SY50_CR,0,0,38,50_.jpg
Aeropostale Gift Card	B004CZKX60	$25.00	A87 Gift Card $25 value	p	85	17	10	17	f	http://ecx.images-amazon.com/images/I/31amoYg-f6L.jpg			
American Eagle Gift Card	B00657AL0Q	$25.00	$25 value gift card	p	93	24	10	18	f	http://ecx.images-amazon.com/images/I/31NcBbyC25L.jpg			
Apple iPad 2 (16GB, Wifi, White)	B0047DVWLW	$415.48	Apple's 2nd generation of iPads.  9.7-inch (diagonal) LED-backlit glossy widescreen Multi-Touch display with IPS technology.  1 GHz dual-core Apple A5 custom-designed processor.  Forward facing and rear facing cameras.	p	120	234	8	18	b	http://ecx.images-amazon.com/images/I/41xolv8eXoL.jpg			
Apple iPhone 4S 16GB (White)	B005SSB0YO	$539.99	iPhone 4S  Size 16 GB	p	55	95	10	18	f	http://ecx.images-amazon.com/images/I/41ua5HiV45L._SX385_.jpg			
Apple iPod Touch	B001FA1O0O	$189.99	It has 8 GB capacity for about 2,000 songs, 10,000 photos, or 10 hours of video  It has up to 40 hours of audio playback or 7 hours of video playback on a single charge  Display: 960 x 640 Pixel Resolution,It has one-year limited warranty  VGA-quality photos and video up to 30 frames per second with the front camera	p	240	433	6	11	b	http://ecx.images-amazon.com/images/I/41I7wnu9WfL._SX385_.jpg	http://ecx.images-amazon.com/images/I/61HFAHI3JWL._SX385_.jpg	http://ecx.images-amazon.com/images/I/41kg-JgmVZL._SX38_SY50_CR,0,0,38,50_.jpg	
Body Shop Pink Grapefruit Shower Gel 8.4 Oz.	B001B7NMSS	$12.99	This soap-free shower gel contains real pink grapefruit seed oil and has a refreshing citrus scent  Lather-rich	p	57	63	13	18	f	http://ecx.images-amazon.com/images/I/41p9rtDoMlL.jpg			
Catching Fire (The Second Book of the Hunger Games)	439023491		Hardcover edition Against all odds, Katniss Everdeen has won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of the Capitol and their harsh rules. Katniss and Peeta should be happy. After all, they have just won for themselves and their families a life of safety and plenty. But there are rumors of rebellion among the subjects, and Katniss and Peeta, to their horror, are the faces of that rebellion. The Capitol is angry. The Capitol wants revenge.	p	59	75	9	16	f	http://ecx.images-amazon.com/images/I/51dxiVSpLwL._SY346_PJlook-inside-v2,TopRight,1,0_SH20_.jpg			
China Glaze Sugar High #80931	B0032K1UT0	$4.30	China Glaze Nail Lacquer with Hardener	p	51	53	11	18	f	http://ecx.images-amazon.com/images/I/31TnJko7SoL.jpg			
